school_name.x,isp,enrollment,cep
MacArthur Park Elementary School for the Visual and Performing A,0.622093023,516,1
COLUMBUS AVENUE,0.513569937,479,1
LAFAYETTE PARK PRIMARY CENTER,0.49382716,81,1
Ellen Ochoa Learning Center,0.522239264,1304,1
PRIMARY ACADEMY FOR SUCCESS,0.533783784,296,1
LOS ANGELES ACADEMY MIDDLE,0.651321398,1173,1
INDEPENDENCE ELEMENTARY,0.440225035,711,1
Gratts Learning Academy for Young Scholars (GLAYS),0.647887324,497,1
SAN ANTONIO ELEMENTARY,0.518453427,569,1
LOS ANGELES ELEMENTARY,0.544959128,734,1
WALNUT PARK ELEMENTARY,0.543964232,671,1
ESPERANZA ELEMENTARY,0.694103194,814,1
SARA COUGHLIN ELEMENTARY,0.509369676,587,1
NUEVA VISTA ELEMENTARY,0.471143757,953,1
LEO POLITI ELEMENTARY,0.499284692,699,1
SAN MIGUEL ELEMENTARY,0.435501654,907,0
TERESA HUGHES ELEMENTARY,0.513870542,757,1
MONTARA AVENUE ELEMENTARY,0.446731235,826,1
Pio Pico Middle,0.542510121,494,1
SUNRISE ELEMENTARY,0.51641791,335,1
NINTH STREET ELEMENTARY,0.797619048,336,1
Balboa Gifted/High Ability Magnet Elementary,0.117962466,746,0
OPEN CHARTER MAGNET,0.071604938,405,0
COMMUNITY MAGNET CHARTER ELEMENTARY,0.150655022,458,0
FISHBURN AVENUE ELEMENTARY,0.497844828,464,1
Robert F. Kennedy Elementary,0.458677686,242,1
Castlebay Lane Charter,0.094594595,740,0
EL SERENO MIDDLE,0.52862254,1118,1
GLENN HAMMOND CURTISS MIDDLE,0.570230608,477,1
SATURN STREET ELEMENTARY,0.441717791,326,1
LOREN MILLER ELEMENTARY,0.677374302,716,1
WALTER REED MIDDLE,0.269138756,1672,0
Sun Valley Magnet,0.513888889,1512,1
GASPAR DE PORTOLA MIDDLE,0.28079096,1770,0
Robert E. Peary Middle,0.503585657,1255,0
Woodland Hills Academy,0.434022258,629,0
OLIVE VISTA MIDDLE,0.479081214,1219,1
Alfred B. Nobel Charter Middle,0.207937164,2419,0
"Johnnie Cochran, Jr., Middle",0.625,616,1
EDWIN MARKHAM MIDDLE,0.695652174,713,1
JAMES MADISON MIDDLE,0.526801153,1735,1
JOSEPH LE CONTE MIDDLE,0.526867628,763,1
PATRICK HENRY MIDDLE,0.35059761,1255,0
George Ellery Hale Charter Academy,0.19618782,2151,0
Henry T. Gage Middle,0.535412606,1539,1
FOSHAY LEARNING CENTER,0.535908596,1838,1
Thomas A. Edison Middle,0.620662461,1268,1
RUDECINDA SEPULVEDA DODSON MIDDLE,0.301864802,1716,0
JOHN BURROUGHS MIDDLE,0.419109027,1706,0
BERENDO MIDDLE,0.588669951,812,1
AUDUBON MIDDLE,0.675052411,477,1
Sophia T. Salvin Special Education Center,0.08411215,107,1
SVEN LOKRANTZ SPECIAL EDUCATION CENTER,0.122807018,57,0
Alfonso B. Perez Special Education Center,0.057627119,295,1
MARLTON,0.423255814,215,1
James J. McBride Special Education Center,0.089430894,123,0
Ernest P. Willenberg Special Education Center,0.087912088,182,0
Benjamin Banneker Career and Transition Center,0.074285714,175,1
Charles Leroy Lowman Special Education and Career Transition Cen,0.101694915,118,0
Orville Wright Engineering and Design Magnet,0.421875,640,0
"Wilmington Middle Science, Technology, Engineering, Arts, Mathem",0.502151199,1627,1
