LEA ID,LEA Name,,,School ID,School Name,,,,Identified Student Percentage (ISP),Proxy Identified Student Percentage (ISP),,Eligible to Participate,,Near Eligible to Participate,Currently Participating,Participating as an Individual Site,,,Participating as part of a Group of Schools,Participating as Part of an Entire District,Participating in Year 4 and Eligible for a Grace Year,,"Student Enrollment in Near-Eligible, Eligible, and Participating CEP Schools",Comments,
N-13-13,Carson City School District,,,013-903,Pioneer Alternative HS,,,,43.71%,,,X,,,X,I,,,,,,,167,,
N-13-13,Carson City School District,,,013-301,Carson Middle School,,,,31.77%,,,,,X,,,,,,,,,"1,218",,
N-13-13,Carson City School District,,,013-203,Fritsch Elementary School,,,,35.20%,,,,,X,,,,,,,,,537,,
N-13-13,Carson City School District,,,013-302,Eagle Valley Middle School,,,,36.98%,,,,,X,,,,,,,,,676,,
N-13-13,Carson City School District,,,013-204,Fremont Elementary School,,,,40.80%,,,X,,,,,,,,,,,527,,
N-13-13,Carson City School District,,,013-201,Bordewich Elementary School,,,,41.01%,,,X,,,,,,,,,,,751,,
N-13-13,Carson City School District,,,013-211,"Twain, Mark Elementary School",,,,42.29%,,,X,,,,,,,,,,,629,,
N-13-13,Carson City School District,,,013-209,Empire Elementary School,,,,51.22%,,,X,,,,,,,,,,,533,,
N-01-13,Churchill County School District,,,001-401,Churchill County High School,,,,34.19%,,,,,X,,,,,,,,,"1,091",,
N-01-13,Churchill County School District,,,001-202,Northside Elementary School,,,,42.11%,,,X,,,,,,,,,,,190,,
N-01-13,Churchill County School District,,,001-301,Churchill County Middle School,,,,51.71%,,,X,,,,,,,,,,,700,,
N-01-13,Churchill County School District,,,001-207,Numa Elementary School,,,,53.64%,,,X,,,,,,,,,,,535,,
N-01-13,Churchill County School District,,,001-206,Lahontan Elementary School,,,,55.34%,,,X,,,,,,,,,,,506,,
N-01-13,Churchill County School District,,,001-205,E.C. Best Elementary School,,,,57.89%,,,X,,,,,,,,,,,475,,
N-02-13,Clark County School District,,,002-122,"Bilbray, James H. ES",,,,27.01%,,,,,,X,,,,G7,,,,733,,
N-02-13,Clark County School District,,,002-612,"King, Martha P.  ES",,,,29.14%,,,,,,X,,,,G10,,,,326,,
N-02-13,Clark County School District,,,002-165,"Mitchell, Andrew  ES",,,,29.21%,,,,,,X,,,,G19,,,,380,,
N-02-13,Clark County School District,,,002-333,Centennial  HS,,,,29.35%,,,,,,X,,,,G5,,,,"2,954",,
N-02-13,Clark County School District,,,002-293,"Cox, David M.  ES",,,,29.56%,,,,,,X,,,,G8,,,,663,,
N-02-13,Clark County School District,,,002-126,Silverado HS,,,,29.76%,,,,,,X,,,,G6,,,,"2,204",,
N-02-13,Clark County School District,,,002-180,"Goynes, Theron ES",,,,30.15%,,,,,X,,,,,,,,,753,,
N-02-13,Clark County School District,,,002-223,"Batterman, Kathy  ES",,,,30.28%,,,,,X,,,,,,,,,786,,
N-02-13,Clark County School District,,,002-342,Greenspun  MS,,,,30.49%,,,,,X,,,,,,,,,"1,538",,
N-02-13,Clark County School District,,,002-205,"Fertitta, Victoria  MS",,,,30.75%,,,,,X,,,,,,,,,"1,366",,
N-02-13,Clark County School District,,,002-233,"Morrow, Sue ES",,,,30.99%,,,,,X,,,,,,,,,639,,
N-02-13,Clark County School District,,,002-125,"Triggs, Vincent L. ES",,,,31.06%,,,,,X,X,,,,G9,,,,718,,
N-02-13,Clark County School District,,,002-130,Global Community HS,,,,31.31%,,,,,X,,,,,,,,,198,,
N-02-13,Clark County School District,,,002-917,"Canarelli, Heidi & Lawerence MS",,,,31.51%,,,,,X,,,,,,,,,"1,796",,
N-02-13,Clark County School District,,,002-220,"Scherkenbach, William & Mary  ES",,,,31.65%,,,,,X,X,,,,G13,,,,613,,
N-02-13,Clark County School District,,,002-269,"Perkins, Ute ES",,,,32.21%,,,,,X,,,,,,,,,149,,
N-02-13,Clark County School District,,,002-430,"Tarr, Sheila ES",,,,32.28%,,,,,X,,,,,,,,,725,,
N-02-13,Clark County School District,,,002-621,"Ortwein, Dennis ES",,,,32.42%,,,,,X,,,,,,,,,697,,
N-02-13,Clark County School District,,,002-124,"Escobedo, Edmundo MS",,,,32.54%,,,,,X,,,,,,,,,"1,214",,
N-02-13,Clark County School District,,,002-623,"Forbuss, Robert ES",,,,32.59%,,,,,X,,,,,,,,,721,,
N-02-13,Clark County School District,,,002-609,"Rogers, Lucille ES",,,,32.65%,,,,,X,,,,,,,,,974,,
N-02-13,Clark County School District,,,002-955,"Gibson, James I. ES",,,,32.77%,,,,,X,X,,,,G14,,,,528,,
N-02-13,Clark County School District,,,002-106,"Dooley, John  ES",,,,33.03%,,,,,X,X,,,,G20,,,,442,,
N-02-13,Clark County School District,,,002-300,"Leavitt, Justice Myron E. MS",,,,33.15%,,,,,X,,,,,,,,,"1,629",,
N-02-13,Clark County School District,,,002-085,Virgin Valley  HS,,,,33.33%,,,,,X,,,,,,,,,723,,
N-02-13,Clark County School District,,,002-094,East Career & Technical Academy HS,,,,33.35%,,,,,X,,,,,,,,,"1,892",,
N-02-13,Clark County School District,,,002-263,"Newton, Ulis ES",,,,33.66%,,,,,X,X,,,,G12,,,,710,,
N-02-13,Clark County School District,,,002-067,"Beatty, John R. ES",,,,33.89%,,,,,X,X,,,,G15,,,,655,,
N-02-13,Clark County School District,,,002-266,Veterans Tribute Career and Technical Academy HS,,,,33.96%,,,,,X,,,,,,,,,801,,
N-02-13,Clark County School District,,,002-111,Spring Valley HS,,,,34.18%,,,,,X,,,,,,,,,"2,487",,
N-02-13,Clark County School District,,,002-076,Sierra Vista HS,,,,34.23%,,,,,X,,,,,,,,,"2,559",,
N-02-13,Clark County School District,,,002-417,"Fine, Mark L. ES",,,,34.24%,,,,,X,,,,,,,,,879,,
N-02-13,Clark County School District,,,002-212,"Snyder, Don & Dee ES",,,,34.40%,,,,,X,,,,,,,,,840,,
N-02-13,Clark County School District,,,002-296,"Rhodes, Betsy ES",,,,34.68%,,,,,X,,,,,,,,,669,,
N-02-13,Clark County School District,,,002-227,"Kesterson, Lorna J.  ES",,,,34.77%,,,,,X,,,,,,,,,768,,
N-02-13,Clark County School District,,,002-624,"Gehring, Roger D. ES",,,,34.98%,,,,,X,,,,,,,,,586,,
N-02-13,Clark County School District,,,002-267,Northwest Career Technical Elementary,,,,35.00%,,,,,X,,,,,,,,,20,,
N-02-13,Clark County School District,,,002-118,"Allen, Dean Lamar ES",,,,35.10%,,,,,X,,,,,,,,,527,,
N-02-13,Clark County School District,,,002-410,"Schorr, Steven ES",,,,35.17%,,,,,X,,,,,,,,,762,,
N-02-13,Clark County School District,,,002-164,"Ober, D'Vorre & Hal ES",,,,35.32%,,,,,X,,,,,,,,,773,,
N-02-13,Clark County School District,,,002-064,"White, Thurman MS",,,,35.95%,,,,,X,,,,,,,,,"1,544",,
N-02-13,Clark County School District,,,002-361,Virgin Valley ES,,,,36.28%,,,,,X,,,,,,,,,634,,
N-02-13,Clark County School District,,,002-362,"Faiss, Wilbur & Theresa MS",,,,36.68%,,,,,X,,,,,,,,,"1,704",,
N-02-13,Clark County School District,,,002-257,Durango  HS,,,,36.70%,,,,,X,,,,,,,,,"2,319",,
N-02-13,Clark County School District,,,002-347,"Alamo, Tony ES",,,,36.84%,,,,,X,,,,,,,,,"1,064",,
N-02-13,Clark County School District,,,002-352,"Thompson, Sandra Lee ES",,,,36.97%,,,,,X,,,,,,,,,633,,
