LEA ID,LEA Name,School ID,School Name,"Identified StudentPercentage (ISP)","ProxyIdentified StudentPercentage (ISP)",Eligible to Participate,"Near Eligible toParticipate","CurrentlyParticipating","Participating as anIndividual Site","Participating aspart of a Group ofSchools","Participating asPart of an EntireDistrict","Participating in Year4 and Eligible for aGrace Year","Student Enrollment in Near-Eligible,Eligible, and Participating CEP Schools",Comments
N-13-13,Carson City School District,013-903,Pioneer Alternative HS,43.71%,,X,,X,I,,,,167,
N-13-13,Carson City School District,013-301,Carson Middle School,31.77%,,,X,,,,,,"1,218",
N-13-13,Carson City School District,013-203,Fritsch Elementary School,35.20%,,,X,,,,,,537,
N-13-13,Carson City School District,013-302,Eagle Valley Middle School,36.98%,,,X,,,,,,676,
N-13-13,Carson City School District,013-204,Fremont Elementary School,40.80%,,X,,,,,,,527,
N-13-13,Carson City School District,013-201,Bordewich Elementary School,41.01%,,X,,,,,,,751,
N-13-13,Carson City School District,013-211,"Twain, Mark Elementary School",42.29%,,X,,,,,,,629,
N-13-13,Carson City School District,013-209,Empire Elementary School,51.22%,,X,,,,,,,533,
N-01-13,Churchill County School District,001-401,Churchill County High School,34.19%,,,X,,,,,,"1,091",
N-01-13,Churchill County School District,001-202,Northside Elementary School,42.11%,,X,,,,,,,190,
N-01-13,Churchill County School District,001-301,Churchill County Middle School,51.71%,,X,,,,,,,700,
N-01-13,Churchill County School District,001-207,Numa Elementary School,53.64%,,X,,,,,,,535,
N-01-13,Churchill County School District,001-206,Lahontan Elementary School,55.34%,,X,,,,,,,506,
N-01-13,Churchill County School District,001-205,E.C. Best Elementary School,57.89%,,X,,,,,,,475,
N-02-13,Clark County School District,002-122,,27.01%,,,X,,G7,,,,733,
N-02-13,Clark County School District,002-612,,29.14%,,,X,,G10,,,,326,
N-02-13,Clark County School District,002-165,,29.21%,,,X,,G19,,,,380,
N-02-13,Clark County School District,002-333,,29.35%,,,X,,G5,,,,"2,954",
N-02-13,Clark County School District,002-293,,29.56%,,,X,,G8,,,,663,
N-02-13,Clark County School District,002-126,,29.76%,,,X,,G6,,,,"2,204",
N-02-13,Clark County School District,002-180,,30.15%,,X,,,,,,,753,
N-02-13,Clark County School District,002-223,,30.28%,,X,,,,,,,786,
N-02-13,Clark County School District,002-342,,30.49%,,X,,,,,,,"1,538",
N-02-13,Clark County School District,002-205,,30.75%,,X,,,,,,,"1,366",
N-02-13,Clark County School District,002-233,,30.99%,,X,,,,,,,639,
N-02-13,Clark County School District,002-125,,31.06%,,X,X,,G9,,,,718,
N-02-13,Clark County School District,002-130,,31.31%,,X,,,,,,,198,
N-02-13,Clark County School District,002-917,,31.51%,,X,,,,,,,"1,796",
N-02-13,Clark County School District,002-220,,31.65%,,X,X,,G13,,,,613,
N-02-13,Clark County School District,002-269,,32.21%,,X,,,,,,,149,
N-02-13,Clark County School District,002-430,,32.28%,,X,,,,,,,725,
N-02-13,Clark County School District,002-621,,32.42%,,X,,,,,,,697,
N-02-13,Clark County School District,002-124,,32.54%,,X,,,,,,,"1,214",
N-02-13,Clark County School District,002-623,,32.59%,,X,,,,,,,721,
N-02-13,Clark County School District,002-609,,32.65%,,X,,,,,,,974,
N-02-13,Clark County School District,002-955,,32.77%,,X,X,,G14,,,,528,
N-02-13,Clark County School District,002-106,,33.03%,,X,X,,G20,,,,442,
N-02-13,Clark County School District,002-300,,33.15%,,X,,,,,,,"1,629",
N-02-13,Clark County School District,002-085,,33.33%,,X,,,,,,,723,
N-02-13,Clark County School District,002-094,,33.35%,,X,,,,,,,"1,892",
N-02-13,Clark County School District,002-263,,33.66%,,X,X,,G12,,,,710,
N-02-13,Clark County School District,002-067,,33.89%,,X,X,,G15,,,,655,
N-02-13,Clark County School District,002-266,,33.96%,,X,,,,,,,801,
N-02-13,Clark County School District,002-111,,34.18%,,X,,,,,,,"2,487",
N-02-13,Clark County School District,002-076,,34.23%,,X,,,,,,,"2,559",
N-02-13,Clark County School District,002-417,,34.24%,,X,,,,,,,879,
N-02-13,Clark County School District,002-212,,34.40%,,X,,,,,,,840,
N-02-13,Clark County School District,002-296,,34.68%,,X,,,,,,,669,
N-02-13,Clark County School District,002-227,,34.77%,,X,,,,,,,768,
N-02-13,Clark County School District,002-624,,34.98%,,X,,,,,,,586,
N-02-13,Clark County School District,002-267,,35.00%,,X,,,,,,,20,
N-02-13,Clark County School District,002-118,,35.10%,,X,,,,,,,527,
N-02-13,Clark County School District,002-410,,35.17%,,X,,,,,,,762,
N-02-13,Clark County School District,002-164,,35.32%,,X,,,,,,,773,
N-02-13,Clark County School District,002-064,,35.95%,,X,,,,,,,"1,544",
N-02-13,Clark County School District,002-361,,36.28%,,X,,,,,,,634,
N-02-13,Clark County School District,002-362,,36.68%,,X,,,,,,,"1,704",
N-02-13,Clark County School District,002-257,,36.70%,,X,,,,,,,"2,319",
N-02-13,Clark County School District,002-347,,36.84%,,X,,,,,,,"1,064",
N-02-13,Clark County School District,002-080,"Cram, Brian & Teri MS",37.16%,Attachment A,X,,,,,,,"1,593",
N-02-13,Clark County School District,002-143,"Silvestri, Charles A.  MS",37.35%,,X,,,,,,,"1,628",
N-02-13,Clark County School District,002-119,"Mack, Nate ES",37.40%,,X,X,G28,,,,,623,
N-02-13,Clark County School District,002-608,"Darnell, Marshall  ES",37.66%,,X,X,G11,,,,,640,
N-02-13,Clark County School District,002-097,"Mathis, Dr. Beverly S.  ES",37.85%,,X,,,,,,,951,
N-02-13,Clark County School District,002-308,"Gilbert, C. V. T. ES",37.96%,,X,,,,,,,432,
N-02-13,Clark County School District,002-268,"Galloway, Fay  ES",38.48%,,X,,,,,,,686,
N-02-13,Clark County School District,002-241,"Conners, Eileen  ES",38.50%,,X,,,,,,,678,
N-02-13,Clark County School District,002-276,"Roberts, Aggie ES",38.51%,,X,X,G18,,,,,683,
N-02-13,Clark County School District,002-167,Indian Springs HS,38.57%,,X,X,G21,,,,,70,
N-02-13,Clark County School District,002-318,Hyde Park MS,38.83%,,X,,,,,,,"1,602",
N-02-13,Clark County School District,002-302,"Bass, John C. ES",39.23%,,X,X,G33,,,,,673,
N-02-13,Clark County School District,002-181,Legacy HS,39.32%,,X,,,,,,,"2,696",
N-02-13,Clark County School District,002-120,"Hughes, Charles Arther MS",39.40%,,X,,,,,,,604,
N-02-13,Clark County School District,002-310,"Garehime, Edith ES",39.49%,,X,,,,,,,785,
N-02-13,Clark County School District,002-086,"Bracken, Walter ES",39.60%,,X,,,,,,,505,
N-02-13,Clark County School District,002-185,"Neal, Joseph M.  ES",39.72%,,X,X,G17,,,,,647,
N-02-13,Clark County School District,002-202,"Bryan, Richard ES",39.93%,,X,,,,,,,561,
N-02-13,Clark County School District,002-153,"Miller, Sandy ES",40.12%,X,,,,,,,,643,
N-02-13,Clark County School District,002-102,"Becker, Ernest  MS",40.31%,X,,,,,,,,"1,424",
N-02-13,Clark County School District,002-425,"Cartwright, Roberta ES",40.50%,X,,,,,,,,558,
N-02-13,Clark County School District,002-197,"May, Ernest  ES",40.73%,X,,,,,,,,572,
N-02-13,Clark County School District,002-275,"Schofield, Jack MS",40.83%,X,,,,,,,,"1,227",
N-02-13,Clark County School District,002-278,"Antonello, Lee  ES",40.94%,X,,,,,,,,552,
N-02-13,Clark County School District,002-416,"McCaw, Gordon  ES",41.12%,X,,,,,,,,715,
N-02-13,Clark County School District,002-928,"Carl, Kay ES",41.15%,X,,X,G23,,,,,836,
